04 08 37	+76 09.9	 042.4	 -30   -8  -12
04 11 20	+58 24.0	 050.9	 -33  -10   -1
04 11 53	+02 53.6	 048.3	 -63  +10   -4
04 12 58	-07 43.8	 207.1	 +95  -11  -39
04 13 04	-07 44.1	 207.1	+112   -6  -24
04 13 04	-07 44.1	 207.1	 +97  -11  -36
04 14 39	-53 26.3	 075.6	 -37   -8  +46
04 14 43	-51 36.7	 044.4	 -25  -18  -13
04 15 03	-26 10.6	 051.7	 -73  -43   +5
04 15 37	-59 25.3	 067.0	 +12  -22  -20
04 22 08	+16 52.3	 039.0	 -46  -21   -3
04 23 13	-57 11.0	 039.7	 +21  +15  -10
04 23 13	-57 11.1	 039.7	  -1   +1   +5
04 24 42	-64 11.8	 043.8	 -50  -26  -58
04 26 02	+21 48.7	 085.4	 +30   +7  +13
04 26 47	+58 53.9	 181.9	 -48  -43   -6
04 27 42	+16 05.2	 052.3	 -40   -8  -11
04 31 59	+55 18.9	 034.6	 -75  -39  +32
04 33 03	+16 24.6	 043.1	 -52  -10  -14
04 33 03	+16 24.6	 049.4	 -49  -19  -25
04 33 42	+27 02.0	 061.1	 -38  -17   -2
04 33 43	+52 48.0	 098.5	 -41   -9   -1
04 35 21	-11 08.1	 094.0	 +15   +2   -9
04 35 53	-14 24.0	 041.0	 -14  -24  -37
04 36 58	+09 46.8	 049.4	 +31  -24  -11
04 38 22	+20 48.6	 071.2	  +0   -3  -24
04 38 57	-41 57.5	 044.8	 +11   +6  -12
04 39 29	-59 02.5	 063.2	 -20   -7   -7
04 39 58	+18 52.8	 107.4	 -23  -57  -12
04 40 17	-37 14.5	 056.9	 -25  -12  -14
04 40 29	+27 35.9	 044.9	 -17  -24  -16
04 44 23	-50 09.6	 049.9	 +37   +4  -41
04 45 21	-17 01.5	 078.9	 -23   -9   -3
04 47 07	+06 52.5	 133.1	 -26  -14   +3
04 48 03	+45 45.5	 040.9	 -51  -64   -6
04 49 24	+06 23.8	 076.7	 +12  -19   +1
04 51 35	-17 50.7	 083.8	 +30  -30  +17
04 53 42	-28 38.3	 030.1	  +5  -26   +2
04 55 00	+49 46.5	 057.7	 +27  -25   -2
04 55 14	-61 13.9	 045.2	 +75 -141 +117
04 56 59	+01 42.6	 052.9	 -10  -12  -16
04 58 20	-05 48.6	 110.7	  +5  -56  -11
04 59 17	+53 04.8	 067.5	-117 -100  +16
05 00 20	-21 19.4	 129.6	 +19   +7   +2
05 01 15	-23 19.3	 050.2	 -81  -73  -35
05 01 20	-56 09.7	 050.7	 -88  +15  -13
05 01 30	-49 13.3	 042.2	  -6  -13  -17
05 02 30	-42 25.8	 052.1	  -9  -58  -24
05 02 45	+51 32.0	 047.1	  -7  -11  -12
05 03 51	+14 23.0	 025.8	 -29  -46   +2
05 04 30	+18 34.8	 058.8	 -27  -25  +31
05 04 39	-57 32.4	 087.8	  -7   +4   -1
05 04 54	+09 24.7	 040.2	 +36  -31  -16
05 05 23	-05 09.0	 049.7	 +13   +4   -7
05 06 15	-04 31.2	 048.4	 -10   -6   +1
05 06 21	-18 12.9	 090.6	 +40  -61   -2
05 09 13	-44 38.1	 039.9	 -37  -43  -23
05 09 41	-44 59.9	 258.3	 +19 -287  -54
05 09 44	+19 36.2	 070.4	 +23   +5  +29
05 12 04	-15 52.8	 062.0	  -7  -49   -4
05 12 59	+45 57.0	 079.0	 -29  -16   -9
05 12 59	+45 57.0	 079.0	 -40  -12   -8
05 13 42	+45 47.5	 076.3	 -37  -13   -9
05 14 17	+79 10.7	 052.9	 +19   +4   -4
05 15 37	+40 03.4	 069.5	 -77  -42   +5
05 16 37	-18 10.9	 063.7	 -35  -40  +13
05 16 40	-03 07.6	 079.7	 -81  -53   +6
05 16 40	-21 26.7	 053.6	 -14  -12  -23
05 19 13	+54 45.5	 051.1	 -73  -33  -14
05 19 38	-78 19.6	 076.8	 +59  +25  +29
05 20 43	+17 16.7	 061.2	 -39  -15   +9
05 21 30	+17 20.3	 065.2	 -38  -15   +7
05 25 57	-03 31.7	 071.2	 +77   -3  -22
05 26 03	+12 30.9	 039.5	  -2  -29   -6
05 27 03	-60 27.3	 044.8	 +12   -3  -19
05 27 06	-75 43.7	 042.1	 +66  -16  -26
05 28 55	-03 41.1	 172.3	 +23  -57  -11
05 29 12	+79 31.0	 045.2	 -21 -154   -8
05 29 30	+09 47.3	 070.9	 -16   -6  -24
05 31 09	+01 54.8	 066.3	 -13   -7  -28
05 33 44	+11 17.9	 086.1	 -19   -7   -6
05 34 04	+20 42.4	 056.2	 +28  -24  -23
05 34 18	+51 24.9	 039.7	 +48  +31  -57
05 35 24	-62 50.2	 042.0	 -32  -14  -19
05 35 47	-28 43.1	 045.6	 -24  -24  -21
05 36 28	-07 14.4	 041.3	  +5   -2   -4
05 36 30	-42 59.7	 059.8	 -55  -25   +4
05 36 45	-46 07.6	 033.2	 +50  -15  -23
05 36 46	-46 07.6	 033.2	 +54  -15  -30
05 37 17	+53 27.8	 082.7	 -14  -22  -13
05 37 27	+53 28.3	 086.1	 -13  -21  -12
05 39 14	+12 29.3	 166.5	 -89  -92   +9
05 41 05	+62 13.7	 071.6	 -13  -54  -18
05 41 08	-80 30.5	 042.9	 -73  -43   +2
05 42 23	-22 27.8	 124.9	 +17   +5  -10
05 42 21	-22 26.2	 124.9	 +16   +5  -11
05 42 35	+37 16.4	 056.7	 +20  -61  +10
05 44 41	-14 50.4	 048.7	 -12   -9   -8
05 45 06	-70 10.8	 047.7	-177  -13  -60
05 45 53	-36 20.6	 095.5	 -19  -63   +2
05 46 06	-51 05.0	 059.8	 -10  -16   -9
05 50 34	-06 00.0	 050.8	  +0  -33  -20
05 51 25	+20 16.1	 103.1	 +14   +3   -9
05 51 52	+02 08.6	 066.7	 +73  -47  -21
05 53 12	+13 55.5	 047.4	 +14  -59   +7
05 53 43	-63 06.3	 050.6	 -49  -31   -1
05 54 08	-14 10.5	 073.4	  -5   +8   +1
05 55 52	+44 56.7	 044.3	 +18   -1   -9
05 58 12	-37 03.6	 046.9	 -32  -37   +6
05 58 28	-31 02.2	 050.7	 -77  -52  -58
05 58 28	-31 02.2	 050.7	 -78  -55  -59
05 59 42	+82 07.9	 105.0	 -36  -47  -25
06 02 37	+67 59.1	 050.9	  -8   -5   -5
06 02 48	+35 23.8	 046.6	 +11  -20  -25
06 03 02	-45 02.1	 040.2	 -35  -11  -15
06 03 15	-55 18.2	 040.6	 -31  -43  +73
06 03 49	+15 33.0	 065.3	 +12   +0  -11
06 05 25	-59 31.5	 040.8	+113   -4  -52
06 08 09	+10 20.6	 100.8	 -37  -57  -23
06 08 28	-21 50.6	 174.9	 +12  -12  -12
06 08 48	+63 24.7	 034.2	 -25  -18  +16
06 09 18	+06 47.9	 042.7	 +62  -16  +11
06 09 55	-41 33.7	 043.7	 +43  -31   -6
06 10 18	+70 48.2	 042.7	 -50  -19   -5
06 10 26	+10 38.7	 056.9	  +3  -25   -6
06 11 44	-74 44.2	 114.1	 +17  -30  -12
06 11 54	+19 10.5	 037.7	 -33  -19  -18
06 13 38	+12 17.3	 043.4	 -13  +10  +17
06 14 37	+05 07.0	 050.4	 -16  +13   -9
06 14 32	+05 08.1	 050.4	 -15  +15  -12
06 15 37	-59 11.4	 042.0	 +34   +7   -8
06 15 37	-59 11.4	 042.0	 +34   +8   -7
06 23 14	+18 47.3	 066.6	  +9   -5  -14
06 25 10	-25 49.3	 043.7	  +0  -30  -44
06 26 51	-02 46.2	 242.1	  -4  -25   +4
06 30 07	-26 59.5	 067.3	 -44 -108  -11
06 30 22	-43 29.8	 058.3	  -9  -14  -33
06 33 07	-58 29.9	 071.0	 -56  +23   -7
06 34 19	+17 36.2	 099.1	 +43  +46  -32
06 34 30	-19 12.7	 054.7	  +2   -8   +1
06 35 55	-49 59.7	 069.7	  +0  -21   +7
06 37 44	+79 37.4	 047.5	 -57  -26   -8
06 38 12	+24 00.6	 057.0	 +49  -19   -2
06 38 53	+71 56.8	 037.8	 -39  -50  -31
06 42 29	+12 57.1	 050.2	 -25  -22  -16
06 42 51	+32 36.5	 047.1	 +24  +27  -45
06 42 52	-27 17.6	 060.5	 -22  +25  +15
06 42 57	-16 38.8	 380.4	 +15   +1  -11
06 43 08	+43 37.8	 066.2	 +25   +8   -3
06 43 31	-31 44.1	 050.4	 +11  -30  -44
06 44 15	+37 35.1	 062.6	 -47  -58  -32
06 45 27	+60 23.2	 050.6	 +69   +4   +8
06 47 41	-61 53.2	 050.9	 -25  -19   -9
06 47 49	+47 26.2	 050.4	 -43  -42  -28
06 48 30	-46 33.6	 048.5	 -39  -14   +4
06 49 52	-05 06.7	 108.9	  +2  +15  -21
06 49 52	-05 07.7	 108.9	  -1  +13  -21
06 51 34	-28 28.2	 041.4	 +13  -92   -7
06 51 35	+33 20.3	 173.6	 -28   -3  -16
06 51 49	+13 14.6	 040.7	  -9  -16   +5
06 51 49	+13 14.6	 040.7	 -16  -19   +5
